pocket_inchi,pocket_filename,protein_filename,representative,representative_name,protein_name,domain,organism,protein_code,chain_code,ligand_code,ligand_occupancy,int.protein_code,int.chain_code,int.protein_name,int.domain,int.organism
7mc51A_001_______________,Pocket_001_7mc51_1_A.pdb,7mc51_1_A.pdb, yes,1_SARS2-Nsp-14 (Proofreading exoribonuclease),Nsp-14 (Proofreading exoribonuclease),cd21659,Severe acute respiratory syndrome coronavirus 2,7MC5,A, , , , , , , 
7lw31A_011_______________,Pocket_011_7lw31_1_A.pdb,7lw31_1_A.pdb, yes,14_SARS2-Nsp-16,Nsp-16,cd20762,Severe acute respiratory syndrome coronavirus 2,7LW3,A, , , , , , , 
7lw31A_010_______________,Pocket_010_7lw31_1_A.pdb,7lw31_1_A.pdb, yes,13_SARS2-Nsp-16,Nsp-16,cd20762,Severe acute respiratory syndrome coronavirus 2,7LW3,A, , , , , , , 
7lw31A_009_______________,Pocket_009_7lw31_1_A.pdb,7lw31_1_A.pdb, yes,12_SARS2-Nsp-16,Nsp-16,cd20762,Severe acute respiratory syndrome coronavirus 2,7LW3,A, , , , , , , 
7lw31A_005_______________,Pocket_005_7lw31_1_A.pdb,7lw31_1_A.pdb, yes,11_SARS2-Nsp-16,Nsp-16,cd20762,Severe acute respiratory syndrome coronavirus 2,7LW3,A, , , , , , , 
7lw31A_004_______________,Pocket_004_7lw31_1_A.pdb,7lw31_1_A.pdb, yes,10_SARS2-Nsp-16,Nsp-16,cd20762,Severe acute respiratory syndrome coronavirus 2,7LW3,A, , , , , , , 
7lw31A_003_______________,Pocket_003_7lw31_1_A.pdb,7lw31_1_A.pdb, yes,9_SARS2-Nsp-16,Nsp-16,cd20762,Severe acute respiratory syndrome coronavirus 2,7LW3,A, , , , , , , 
7lw31A_002_______________,Pocket_002_7lw31_1_A.pdb,7lw31_1_A.pdb, yes,8_SARS2-Nsp-16,Nsp-16,cd20762,Severe acute respiratory syndrome coronavirus 2,7LW3,A, , , , , , , 
7lw31A_001_______________,Pocket_001_7lw31_1_A.pdb,7lw31_1_A.pdb, yes,7_SARS2-Nsp-16,Nsp-16,cd20762,Severe acute respiratory syndrome coronavirus 2,7LW3,A, , , , , , , 
7lgo1A_002_______________,Pocket_002_7lgo1_1_A.pdb,7lgo1_1_A.pdb, yes,3_SARS2-Nsp-3,Nsp-3,cd21822,Severe acute respiratory syndrome coronavirus 2,7LGO,A, , , , , , , 
7lgo1A_001_______________,Pocket_001_7lgo1_1_A.pdb,7lgo1_1_A.pdb, yes,2_SARS2-Nsp-3,Nsp-3,cd21822,Severe acute respiratory syndrome coronavirus 2,7LGO,A, , , , , , , 
7kri1C_001_______________,Pocket_001_7kri1_1_C.pdb,7kri1_1_C.pdb, yes,4_SARS2-Nsp-9,Nsp-9,cd21898,Severe acute respiratory syndrome coronavirus 2,7KRI,C, , , , , , , 
7kqp1A_001_______________,Pocket_001_7kqp1_1_A.pdb,7kqp1_1_A.pdb, yes,1_SARS2-Nsp-3,Nsp-3,cd21557,Severe acute respiratory syndrome coronavirus 2,7KQP,A,AR6,1, , , , , 
7kjr1A_002_______________,Pocket_002_7kjr1_1_A.pdb,7kjr1_1_A.pdb, yes,2_SARS2-ORF3a,ORF3a,cd21648,Severe acute respiratory syndrome coronavirus 2,7KJR,A, , , , , , , 
7kjr1A_001_______________,Pocket_001_7kjr1_1_A.pdb,7kjr1_1_A.pdb, yes,1_SARS2-ORF3a,ORF3a,cd21648,Severe acute respiratory syndrome coronavirus 2,7KJR,A, , , , , , , 
7k7p1B_001_______________,Pocket_001_7k7p1_1_B.pdb,7k7p1_1_B.pdb, yes,1_SARS2-Nsp-1,Nsp-1,cd21796,Severe acute respiratory syndrome coronavirus 2,7K7P,B, , , , , , , 
7jx61A_002_______________,Pocket_002_7jx61_1_A.pdb,7jx61_1_A.pdb, yes,2_SARS2-ORF8,ORF8,cd21641,Severe acute respiratory syndrome coronavirus 2,7JX6,A, , , , , , , 
7jx61A_001_______________,Pocket_001_7jx61_1_A.pdb,7jx61_1_A.pdb, yes,1_SARS2-ORF8,ORF8,cd21641,Severe acute respiratory syndrome coronavirus 2,7JX6,A, , ,7jx6,B,ORF8,cd21641,Severe acute respiratory syndrome coronavirus 2
7exm1A_005_______________,Pocket_005_7exm1_1_A.pdb,7exm1_1_A.pdb, yes,5_SARS2-Nsp-2,Nsp-2,cd21516,Severe acute respiratory syndrome coronavirus 2,7EXM,A, , , , , , , 
7exm1A_004_______________,Pocket_004_7exm1_1_A.pdb,7exm1_1_A.pdb, yes,4_SARS2-Nsp-2,Nsp-2,cd21516,Severe acute respiratory syndrome coronavirus 2,7EXM,A, , , , , , , 
7exm1A_003_______________,Pocket_003_7exm1_1_A.pdb,7exm1_1_A.pdb, yes,3_SARS2-Nsp-2,Nsp-2,cd21516,Severe acute respiratory syndrome coronavirus 2,7EXM,A, , , , , , , 
7exm1A_002_______________,Pocket_002_7exm1_1_A.pdb,7exm1_1_A.pdb, yes,2_SARS2-Nsp-2,Nsp-2,cd21516,Severe acute respiratory syndrome coronavirus 2,7EXM,A, , , , , , , 
7exm1A_001_______________,Pocket_001_7exm1_1_A.pdb,7exm1_1_A.pdb, yes,1_SARS2-Nsp-2,Nsp-2,cd21516,Severe acute respiratory syndrome coronavirus 2,7EXM,A, , , , , , , 
7dhg1B_001_______________,Pocket_001_7dhg1_1_B.pdb,7dhg1_1_B.pdb, yes,2_SARS2-ORF9b,ORF9b,,Severe acute respiratory syndrome coronavirus 2,7DHG,B, , ,7dhg,C,,,Homo sapiens
7d301B_005_______________,Pocket_005_7d301_1_B.pdb,7d301_1_B.pdb, yes,7_SARS2-Spike S1 RBD,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7D30,B, , , , , , , 
7d301B_004_______________,Pocket_004_7d301_1_B.pdb,7d301_1_B.pdb, yes,6_SARS2-Spike S1 RBD,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7D30,B, , , , , , , 
7d301B_001_______________,Pocket_001_7d301_1_B.pdb,7d301_1_B.pdb, yes,5_SARS2-Spike S1 RBD,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7D30,B, , , , , , , 
7coe1A_002_______________,Pocket_002_7coe1_1_A.pdb,7coe1_1_A.pdb, yes,2_MERS-Spike RBD,Spike RBD,cd21480,Middle East respiratory syndrome-related coronavirus,7COE,A, , , , , , , 
7coe1A_001_______________,Pocket_001_7coe1_1_A.pdb,7coe1_1_A.pdb, yes,1_MERS-Spike RBD,Spike RBD,cd21480,Middle East respiratory syndrome-related coronavirus,7COE,A, , , , , , , 
7ci31A_003_______________,Pocket_003_7ci31_1_A.pdb,7ci31_1_A.pdb, yes,3_SARS2-ORF7a,ORF7a,cd21663,Severe acute respiratory syndrome coronavirus 2,7CI3,A, , , , , , , 
7ci31A_002_______________,Pocket_002_7ci31_1_A.pdb,7ci31_1_A.pdb, yes,2_SARS2-ORF7a,ORF7a,cd21663,Severe acute respiratory syndrome coronavirus 2,7CI3,A, , , , , , , 
7ci31A_001_______________,Pocket_001_7ci31_1_A.pdb,7ci31_1_A.pdb, yes,1_SARS2-ORF7a,ORF7a,cd21663,Severe acute respiratory syndrome coronavirus 2,7CI3,A, , , , , , , 
7chp1E_002_______________,Pocket_002_7chp1_1_E.pdb,7chp1_1_E.pdb, yes,4_SARS2-Spike S1 RBD,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,7CHP,E, , , , , , , 
7cb71B_003_______________,Pocket_003_7cb71_1_B.pdb,7cb71_1_B.pdb, yes,5_SARS2-Nsp-5 (Mpro),Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7CB7,B, , , , , , , 
7cb71_007________________,Pocket_007_7cb71.pdb,7cb71.pdb, yes,4_SARS2-Nsp-5 (Mpro),Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7CB7,A, , , , , , , 
7cb71_007________________,Pocket_007_7cb71.pdb,7cb71.pdb, yes,4_SARS2-Nsp-5 (Mpro),Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,7CB7,B, , , , , , , 
7c531B_003_______________,Pocket_003_7c531_1_B.pdb,7c531_1_B.pdb, yes,3_SARS2-Spike S2 HR1,Spike S2 HR1,,Severe acute respiratory syndrome coronavirus 2,7C53,B, , , , , , , 
7c531B_002_______________,Pocket_002_7c531_1_B.pdb,7c531_1_B.pdb, yes,2_SARS2-Spike S2 HR1,Spike S2 HR1,,Severe acute respiratory syndrome coronavirus 2,7C53,B, , , , , , , 
7c531B_001_______________,Pocket_001_7c531_1_B.pdb,7c531_1_B.pdb, yes,1_SARS2-Spike S2 HR1,Spike S2 HR1,,Severe acute respiratory syndrome coronavirus 2,7C53,B, , , , , , , 
7b621A_003_______________,Pocket_003_7b621_1_A.pdb,7b621_1_A.pdb, yes,3_SARS2-Spike NTD,Spike NTD,cd21624,Severe acute respiratory syndrome coronavirus 2,7B62,A, , , , , , , 
7b621A_002_______________,Pocket_002_7b621_1_A.pdb,7b621_1_A.pdb, yes,2_SARS2-Spike NTD,Spike NTD,cd21624,Severe acute respiratory syndrome coronavirus 2,7B62,A, , , , , , , 
7b621A_001_______________,Pocket_001_7b621_1_A.pdb,7b621_1_A.pdb, yes,1_SARS2-Spike NTD,Spike NTD,cd21624,Severe acute respiratory syndrome coronavirus 2,7B62,A,BLA,0.419, , , , , 
7aap1A_017_______________,Pocket_017_7aap1_1_A.pdb,7aap1_1_A.pdb, yes,14_SARS2-Nsp-12,Nsp-12,cd21591,Severe acute respiratory syndrome coronavirus 2,7AAP,A, , , , , , , 
7aap1A_016_______________,Pocket_016_7aap1_1_A.pdb,7aap1_1_A.pdb, yes,13_SARS2-Nsp-12,Nsp-12,cd21591,Severe acute respiratory syndrome coronavirus 2,7AAP,A, , , , , , , 
7aap1A_015_______________,Pocket_015_7aap1_1_A.pdb,7aap1_1_A.pdb, yes,12_SARS2-Nsp-12,Nsp-12,cd21591,Severe acute respiratory syndrome coronavirus 2,7AAP,A, , , , , , , 
7aap1A_014_______________,Pocket_014_7aap1_1_A.pdb,7aap1_1_A.pdb, yes,11_SARS2-Nsp-12,Nsp-12,cd21591,Severe acute respiratory syndrome coronavirus 2,7AAP,A, , , , , , , 
7aap1A_012_______________,Pocket_012_7aap1_1_A.pdb,7aap1_1_A.pdb, yes,10_SARS2-Nsp-12,Nsp-12,cd21591,Severe acute respiratory syndrome coronavirus 2,7AAP,A, , , , , , , 
7aap1A_009_______________,Pocket_009_7aap1_1_A.pdb,7aap1_1_A.pdb, yes,9_SARS2-Nsp-12,Nsp-12,cd21591,Severe acute respiratory syndrome coronavirus 2,7AAP,A, , , , , , , 
7aap1A_008_______________,Pocket_008_7aap1_1_A.pdb,7aap1_1_A.pdb, yes,8_SARS2-Nsp-12,Nsp-12,cd21591,Severe acute respiratory syndrome coronavirus 2,7AAP,A, , , , , , , 
7aap1A_007_______________,Pocket_007_7aap1_1_A.pdb,7aap1_1_A.pdb, yes,7_SARS2-Nsp-12,Nsp-12,cd21591,Severe acute respiratory syndrome coronavirus 2,7AAP,A, , , , , , , 
7aap1A_006_______________,Pocket_006_7aap1_1_A.pdb,7aap1_1_A.pdb, yes,6_SARS2-Nsp-12,Nsp-12,cd21591,Severe acute respiratory syndrome coronavirus 2,7AAP,A, , , , , , , 
7aap1A_005_______________,Pocket_005_7aap1_1_A.pdb,7aap1_1_A.pdb, yes,5_SARS2-Nsp-12,Nsp-12,cd21591,Severe acute respiratory syndrome coronavirus 2,7AAP,A, , , , , , , 
7aap1A_004_______________,Pocket_004_7aap1_1_A.pdb,7aap1_1_A.pdb, yes,4_SARS2-Nsp-12,Nsp-12,cd21591,Severe acute respiratory syndrome coronavirus 2,7AAP,A, , , , , , , 
7aap1A_003_______________,Pocket_003_7aap1_1_A.pdb,7aap1_1_A.pdb, yes,3_SARS2-Nsp-12,Nsp-12,cd21591,Severe acute respiratory syndrome coronavirus 2,7AAP,A, , , , , , , 
7aap1A_002_______________,Pocket_002_7aap1_1_A.pdb,7aap1_1_A.pdb, yes,2_SARS2-Nsp-12,Nsp-12,cd21591,Severe acute respiratory syndrome coronavirus 2,7AAP,A, , , , , , , 
7aap1A_001_______________,Pocket_001_7aap1_1_A.pdb,7aap1_1_A.pdb, yes,1_SARS2-Nsp-12,Nsp-12,cd21591,Severe acute respiratory syndrome coronavirus 2,7AAP,A, , , , , , , 
6z4u1B_001_______________,Pocket_001_6z4u1_1_B.pdb,6z4u1_1_B.pdb, yes,1_SARS2-ORF9b,ORF9b,,Severe acute respiratory syndrome coronavirus 2,6Z4U,B,15P,0.714, , , , , 
6yvf1A_003_______________,Pocket_003_6yvf1_1_A.pdb,6yvf1_1_A.pdb, yes,3_SARS2-Nsp-5 (Mpro),Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,6YVF,A, , , , , , , 
6yvf1A_002_______________,Pocket_002_6yvf1_1_A.pdb,6yvf1_1_A.pdb, yes,2_SARS2-Nsp-5 (Mpro),Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,6YVF,A, , , , , , , 
6yvf1A_001_______________,Pocket_001_6yvf1_1_A.pdb,6yvf1_1_A.pdb, yes,1_SARS2-Nsp-5 (Mpro),Nsp-5 (Mpro),cd21666,Severe acute respiratory syndrome coronavirus 2,6YVF,A, , , , , , , 
6yun1B_001_______________,Pocket_001_6yun1_1_B.pdb,6yun1_1_B.pdb, yes,1_SARS2-Nucleocapsid,Nucleocapsid,cd21595,Severe acute respiratory syndrome coronavirus 2,6YUN,B, , ,6yun,A,Nucleocapsid,cd21595,Severe acute respiratory syndrome coronavirus 2
6yla1E_003_______________,Pocket_003_6yla1_1_E.pdb,6yla1_1_E.pdb, yes,3_SARS2-Spike S1 RBD,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,6YLA,E, , , , , , , 
6yla1E_002_______________,Pocket_002_6yla1_1_E.pdb,6yla1_1_E.pdb, yes,2_SARS2-Spike S1 RBD,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,6YLA,E, , , , , , , 
6yla1E_001_______________,Pocket_001_6yla1_1_E.pdb,6yla1_1_E.pdb, yes,1_SARS2-Spike S1 RBD,Spike S1 RBD,cd21480,Severe acute respiratory syndrome coronavirus 2,6YLA,E, , , , , , , 
6yhu1B_002_______________,Pocket_002_6yhu1_1_B.pdb,6yhu1_1_B.pdb, yes,2_SARS2-Nsp-8,Nsp-8,cd21831,Severe acute respiratory syndrome coronavirus 2,6YHU,B, , , , , , , 
6yhu1B_001_______________,Pocket_001_6yhu1_1_B.pdb,6yhu1_1_B.pdb, yes,1_SARS2-Nsp-8,Nsp-8,cd21831,Severe acute respiratory syndrome coronavirus 2,6YHU,B, , , , , , , 
6yhu1A_001_______________,Pocket_001_6yhu1_1_A.pdb,6yhu1_1_A.pdb, yes,1_SARS2-Nsp-7,Nsp-7,cd21827,Severe acute respiratory syndrome coronavirus 2,6YHU,A, , ,6yhu,B,Nsp-8,cd21831,Severe acute respiratory syndrome coronavirus 2
6x4i1B_004_______________,Pocket_004_6x4i1_1_B.pdb,6x4i1_1_B.pdb, yes,4_SARS2-Nsp-15 (Uridylate-specific endoribonuclease),Nsp-15 (Uridylate-specific endoribonuclease),"cd21171, cd21167, cd21161",Severe acute respiratory syndrome coronavirus 2,6X4I,B, , , , , , , 
6x4i1B_003_______________,Pocket_003_6x4i1_1_B.pdb,6x4i1_1_B.pdb, yes,3_SARS2-Nsp-15 (Uridylate-specific endoribonuclease),Nsp-15 (Uridylate-specific endoribonuclease),"cd21171, cd21167, cd21161",Severe acute respiratory syndrome coronavirus 2,6X4I,B, , , , , , , 
6x4i1B_002_______________,Pocket_002_6x4i1_1_B.pdb,6x4i1_1_B.pdb, yes,2_SARS2-Nsp-15 (Uridylate-specific endoribonuclease),Nsp-15 (Uridylate-specific endoribonuclease),"cd21171, cd21167, cd21161",Severe acute respiratory syndrome coronavirus 2,6X4I,B, , , , , , , 
6x4i1B_001_______________,Pocket_001_6x4i1_1_B.pdb,6x4i1_1_B.pdb, yes,1_SARS2-Nsp-15 (Uridylate-specific endoribonuclease),Nsp-15 (Uridylate-specific endoribonuclease),"cd21171, cd21167, cd21161",Severe acute respiratory syndrome coronavirus 2,6X4I,B, , , , , , , 
6waq1B_005_______________,Pocket_005_6waq1_1_B.pdb,6waq1_1_B.pdb, yes,7_SARS-Spike S1 RBD,Spike S1 RBD,cd21480,Severe acute respiratory syndrome-related coronavirus,6WAQ,B, , , , , , , 
6waq1B_004_______________,Pocket_004_6waq1_1_B.pdb,6waq1_1_B.pdb, yes,6_SARS-Spike S1 RBD,Spike S1 RBD,cd21480,Severe acute respiratory syndrome-related coronavirus,6WAQ,B, , ,6waq,A,,,Lama glama
6waq1B_002_______________,Pocket_002_6waq1_1_B.pdb,6waq1_1_B.pdb, yes,5_SARS-Spike S1 RBD,Spike S1 RBD,cd21480,Severe acute respiratory syndrome-related coronavirus,6WAQ,B, , , , , , , 
6waq1B_001_______________,Pocket_001_6waq1_1_B.pdb,6waq1_1_B.pdb, yes,4_SARS-Spike S1 RBD,Spike S1 RBD,cd21480,Severe acute respiratory syndrome-related coronavirus,6WAQ,B, , , , , , , 
6w9q1A_003_______________,Pocket_003_6w9q1_1_A.pdb,6w9q1_1_A.pdb, yes,3_SARS2-Nsp-9,Nsp-9,cd21898,Severe acute respiratory syndrome coronavirus 2,6W9Q,A, , , , , , , 
6w9q1A_002_______________,Pocket_002_6w9q1_1_A.pdb,6w9q1_1_A.pdb, yes,2_SARS2-Nsp-9,Nsp-9,cd21898,Severe acute respiratory syndrome coronavirus 2,6W9Q,A, , , , , , , 
6w9q1A_001_______________,Pocket_001_6w9q1_1_A.pdb,6w9q1_1_A.pdb, yes,1_SARS2-Nsp-9,Nsp-9,cd21898,Severe acute respiratory syndrome coronavirus 2,6W9Q,A, , , , , , , 
6w611A_006_______________,Pocket_006_6w611_1_A.pdb,6w611_1_A.pdb, yes,6_SARS2-Nsp-16,Nsp-16,cd20762,Severe acute respiratory syndrome coronavirus 2,6W61,A, , , , , , , 
6w611A_005_______________,Pocket_005_6w611_1_A.pdb,6w611_1_A.pdb, yes,5_SARS2-Nsp-16,Nsp-16,cd20762,Severe acute respiratory syndrome coronavirus 2,6W61,A, , , , , , , 
6w611A_004_______________,Pocket_004_6w611_1_A.pdb,6w611_1_A.pdb, yes,4_SARS2-Nsp-16,Nsp-16,cd20762,Severe acute respiratory syndrome coronavirus 2,6W61,A, , ,6w61,B,Nsp-10,cd21901,Severe acute respiratory syndrome coronavirus 2
6w611A_003_______________,Pocket_003_6w611_1_A.pdb,6w611_1_A.pdb, yes,3_SARS2-Nsp-16,Nsp-16,cd20762,Severe acute respiratory syndrome coronavirus 2,6W61,A, , , , , , , 
6w611A_002_______________,Pocket_002_6w611_1_A.pdb,6w611_1_A.pdb, yes,2_SARS2-Nsp-16,Nsp-16,cd20762,Severe acute respiratory syndrome coronavirus 2,6W61,A, , , , , , , 
6w611A_001_______________,Pocket_001_6w611_1_A.pdb,6w611_1_A.pdb, yes,1_SARS2-Nsp-16,Nsp-16,cd20762,Severe acute respiratory syndrome coronavirus 2,6W61,A,SAM,1, , , , , 
6w4h1B_002_______________,Pocket_002_6w4h1_1_B.pdb,6w4h1_1_B.pdb, yes,2_SARS2-Nsp-10,Nsp-10,cd21901,Severe acute respiratory syndrome coronavirus 2,6W4H,B, , , , , , , 
6w4h1B_001_______________,Pocket_001_6w4h1_1_B.pdb,6w4h1_1_B.pdb, yes,1_SARS2-Nsp-10,Nsp-10,cd21901,Severe acute respiratory syndrome coronavirus 2,6W4H,B, , , , , , , 
6vyb1C_010_______________,Pocket_010_6vyb1_1_C.pdb,6vyb1_1_C.pdb, yes,18_SARS2-Spike TRIMER open,Spike TRIMER open,,Severe acute respiratory syndrome coronavirus 2,6VYB,C, , , , , , , 
6vyb1C_009_______________,Pocket_009_6vyb1_1_C.pdb,6vyb1_1_C.pdb, yes,17_SARS2-Spike TRIMER open,Spike TRIMER open,,Severe acute respiratory syndrome coronavirus 2,6VYB,C, , , , , , , 
6vyb1A_016_______________,Pocket_016_6vyb1_1_A.pdb,6vyb1_1_A.pdb, yes,16_SARS2-Spike TRIMER open,Spike TRIMER open,,Severe acute respiratory syndrome coronavirus 2,6VYB,A, , ,6vyb,B,Spike TRIMER open,,Severe acute respiratory syndrome coronavirus 2
6vyb1A_013_______________,Pocket_013_6vyb1_1_A.pdb,6vyb1_1_A.pdb, yes,15_SARS2-Spike TRIMER open,Spike TRIMER open,,Severe acute respiratory syndrome coronavirus 2,6VYB,A, , , , , , , 
6vyb1A_008_______________,Pocket_008_6vyb1_1_A.pdb,6vyb1_1_A.pdb, yes,14_SARS2-Spike TRIMER open,Spike TRIMER open,,Severe acute respiratory syndrome coronavirus 2,6VYB,A, , , , , , , 
6vyb1A_001_______________,Pocket_001_6vyb1_1_A.pdb,6vyb1_1_A.pdb, yes,13_SARS2-Spike TRIMER open,Spike TRIMER open,,Severe acute respiratory syndrome coronavirus 2,6VYB,A, , , , , , , 
6vyb1_042________________,Pocket_042_6vyb1.pdb,6vyb1.pdb, yes,12_SARS2-Spike TRIMER open,Spike TRIMER open,,Severe acute respiratory syndrome coronavirus 2,6VYB,B, , , , , , , 
6vyb1_042________________,Pocket_042_6vyb1.pdb,6vyb1.pdb, yes,12_SARS2-Spike TRIMER open,Spike TRIMER open,,Severe acute respiratory syndrome coronavirus 2,6VYB,A, , , , , , , 
6vyb1_041________________,Pocket_041_6vyb1.pdb,6vyb1.pdb, yes,11_SARS2-Spike TRIMER open,Spike TRIMER open,,Severe acute respiratory syndrome coronavirus 2,6VYB,A, , , , , , , 
6vyb1_041________________,Pocket_041_6vyb1.pdb,6vyb1.pdb, yes,11_SARS2-Spike TRIMER open,Spike TRIMER open,,Severe acute respiratory syndrome coronavirus 2,6VYB,C, , , , , , , 
6vyb1_036________________,Pocket_036_6vyb1.pdb,6vyb1.pdb, yes,10_SARS2-Spike TRIMER open,Spike TRIMER open,,Severe acute respiratory syndrome coronavirus 2,6VYB,A, , , , , , , 
6vyb1_035________________,Pocket_035_6vyb1.pdb,6vyb1.pdb, yes,9_SARS2-Spike TRIMER open,Spike TRIMER open,,Severe acute respiratory syndrome coronavirus 2,6VYB,A, , , , , , , 
6vyb1_033________________,Pocket_033_6vyb1.pdb,6vyb1.pdb, yes,8_SARS2-Spike TRIMER open,Spike TRIMER open,,Severe acute respiratory syndrome coronavirus 2,6VYB,B, , , , , , , 
6vyb1_030________________,Pocket_030_6vyb1.pdb,6vyb1.pdb, yes,7_SARS2-Spike TRIMER open,Spike TRIMER open,,Severe acute respiratory syndrome coronavirus 2,6VYB,C, , , , , , , 
