pocket.1,pocket.2,similarity_value
6_SARS-Spike S1 RBD,1_MERS-Spike RBD,0.83263
6_SARS-Nsp-3 (Papain like),1_MERS-Spike RBD,0.835282
5_SARS2-Nsp-5 (Mpro),1_MERS-Spike RBD,0.807953
5_SARS2-Nsp-16,1_MERS-Spike RBD,0.828332
5_SARS2-Nsp-13 (Helicase),1_MERS-Spike RBD,0.812376
5_SARS-Nsp-16,1_MERS-Spike RBD,0.828286
4_SARS2-Spike TRIMER open,1_MERS-Spike RBD,0.816281
4_SARS2-Spike TRIMER closed,1_MERS-Spike RBD,0.803237
4_SARS2-Nsp-16,1_MERS-Spike RBD,0.823596
4_SARS2-Nsp-13 (Helicase),1_MERS-Spike RBD,0.812395
4_SARS2-Nsp-12,1_MERS-Spike RBD,0.808781
4_SARS-Spike NTD,1_MERS-Spike RBD,0.807629
4_SARS-Nsp-5 (Mpro),1_MERS-Spike RBD,0.811721
4_SARS-Nsp-3 (Papain like),1_MERS-Spike RBD,0.83408
4_SARS-Nsp-16,1_MERS-Spike RBD,0.822431
4_MERS-Spike NTD,1_MERS-Spike RBD,0.811848
3_SARS2-Spike S1 RBD,1_MERS-Spike RBD,0.816737
3_SARS2-Nsp-16,1_MERS-Spike RBD,0.828178
3_SARS2-Nsp-15 (Uridylate-specific endoribonuclease),1_MERS-Spike RBD,0.802026
3_SARS2-Nsp-12,1_MERS-Spike RBD,0.805267
3_SARS-Spike S1 RBD,1_MERS-Spike RBD,0.802366
3_SARS-Spike NTD,1_MERS-Spike RBD,0.808923
3_SARS-Nsp-3 (Papain like),1_MERS-Spike RBD,0.822462
3_MERS-Spike NTD,1_MERS-Spike RBD,0.827498
3_MERS-Nsp-3 (Papain like),1_MERS-Spike RBD,0.819178
25_SARS2-Spike TRIMER closed,1_MERS-Spike RBD,0.823589
24_SARS2-Spike TRIMER closed,1_MERS-Spike RBD,0.810151
22_SARS2-Spike TRIMER closed,1_MERS-Spike RBD,0.844192
21_SARS2-Spike TRIMER closed,1_MERS-Spike RBD,0.816194
20_SARS2-Spike TRIMER closed,1_MERS-Spike RBD,0.805674
2_SARS2-Spike TRIMER open,1_MERS-Spike RBD,0.80459
2_SARS2-Spike NTD,1_MERS-Spike RBD,0.81833
2_SARS2-Nsp-16,1_MERS-Spike RBD,0.831698
2_SARS2-Nsp-15 (Uridylate-specific endoribonuclease),1_MERS-Spike RBD,0.806763
2_SARS2-Nsp-13 (Helicase),1_MERS-Spike RBD,0.847241
2_SARS2-Nsp-12,1_MERS-Spike RBD,0.817856
2_SARS2-Nsp-10,1_MERS-Spike RBD,0.817753
2_SARS-Spike S1 RBD,1_MERS-Spike RBD,0.812061
2_SARS-Spike NTD,1_MERS-Spike RBD,0.84041
2_SARS-Nsp-8,1_MERS-Spike RBD,0.809536
2_SARS-Nsp-3 (Papain like),1_MERS-Spike RBD,0.82574
2_SARS-Nsp-16,1_MERS-Spike RBD,0.830965
2_MERS-Spike NTD,1_MERS-Spike RBD,0.823442
2_MERS-Nucleocapsid,1_MERS-Spike RBD,0.816481
2_MERS-Nsp-3 (Papain like),1_MERS-Spike RBD,0.814871
19_SARS2-Spike TRIMER closed,1_MERS-Spike RBD,0.820754
18_SARS2-Spike TRIMER open,1_MERS-Spike RBD,0.82145
18_SARS2-Spike TRIMER closed,1_MERS-Spike RBD,0.814943
17_SARS2-Spike TRIMER open,1_MERS-Spike RBD,0.821
17_SARS2-Spike TRIMER closed,1_MERS-Spike RBD,0.829491
16_SARS2-Spike TRIMER open,1_MERS-Spike RBD,0.809614
15_SARS2-Spike TRIMER open,1_MERS-Spike RBD,0.821846
14_SARS2-Spike TRIMER open,1_MERS-Spike RBD,0.804397
14_SARS2-Spike TRIMER closed,1_MERS-Spike RBD,0.838266
14_SARS2-Nsp-12,1_MERS-Spike RBD,0.820782
12_SARS2-Nsp-12,1_MERS-Spike RBD,0.814701
11_SARS2-Spike TRIMER open,1_MERS-Spike RBD,0.82969
11_SARS2-Nsp-12,1_MERS-Spike RBD,0.800857
10_SARS2-Nsp-12,1_MERS-Spike RBD,0.82166
1_SARS2-Spike TRIMER open,1_MERS-Spike RBD,0.824345
1_SARS2-Spike S1 RBD,1_MERS-Spike RBD,0.81265
1_SARS2-ORF9b,1_MERS-Spike RBD,0.804006
1_SARS2-Nsp-8,1_MERS-Spike RBD,0.809203
1_SARS2-Nsp-12,1_MERS-Spike RBD,0.811729
1_SARS-Spike S1 RBD,1_MERS-Spike RBD,0.832094
1_SARS-Nucleocapsid,1_MERS-Spike RBD,0.805752
1_SARS-Nsp-8,1_MERS-Spike RBD,0.811888
1_SARS-Nsp-5 (Mpro),1_MERS-Spike RBD,0.81398
1_MERS-Spike S2 HR,1_MERS-Spike RBD,0.821304
1_MERS-Nucleocapsid,1_MERS-Spike RBD,0.809465
9_SARS-Nsp-5 (Mpro),1_MERS-Spike S2 HR,0.869963
7_SARS-Nsp-5 (Mpro),1_MERS-Spike S2 HR,0.835436
7_SARS-Nsp-3 (Papain like),1_MERS-Spike S2 HR,0.811016
7_SARS-Nsp-3,1_MERS-Spike S2 HR,0.823789
6_SARS-Nsp-5 (Mpro),1_MERS-Spike S2 HR,0.827982
6_SARS-Nsp-3 (Papain like),1_MERS-Spike S2 HR,0.832184
5_SARS-Nsp-16,1_MERS-Spike S2 HR,0.818294
4_SARS-Nsp-5 (Mpro),1_MERS-Spike S2 HR,0.829089
4_SARS-Nsp-3 (Papain like),1_MERS-Spike S2 HR,0.852541
4_SARS-Nsp-16,1_MERS-Spike S2 HR,0.844711
3_SARS-Spike S1 RBD,1_MERS-Spike S2 HR,0.825105
3_SARS-Nsp-3 (Papain like),1_MERS-Spike S2 HR,0.825265
2_SARS-Spike S1 RBD,1_MERS-Spike S2 HR,0.847543
2_SARS-Nsp-8,1_MERS-Spike S2 HR,0.820342
2_SARS-Nsp-3 (Papain like),1_MERS-Spike S2 HR,0.832436
2_SARS-Nsp-16,1_MERS-Spike S2 HR,0.841987
1_SARS-Spike S1 RBD,1_MERS-Spike S2 HR,0.841002
1_SARS-Nucleocapsid,1_MERS-Spike S2 HR,0.813434
1_SARS-Nsp-8,1_MERS-Spike S2 HR,0.834535
1_SARS-Nsp-5 (Mpro),1_MERS-Spike S2 HR,0.830821
1_SARS-Nsp-10,1_MERS-Spike S2 HR,0.804298
2_SARS-Nsp-3 (Papain like),1_SARS-Nsp-10,0.821904
2_SARS-Nsp-3,1_SARS-Nsp-10,0.805571
3_SARS-Spike S1 RBD,1_SARS-Nsp-5 (Mpro),0.835098
3_SARS-Nsp-3 (Papain like),1_SARS-Nsp-5 (Mpro),0.819598
2_SARS-Spike S1 RBD,1_SARS-Nsp-5 (Mpro),0.82619
2_SARS-Nsp-3 (Papain like),1_SARS-Nsp-5 (Mpro),0.806272
1_SARS-Nsp-8,1_SARS-Nsp-5 (Mpro),0.830652
3_SARS-Spike S1 RBD,1_SARS-Nucleocapsid,0.814825
3_SARS-Nsp-3 (Papain like),1_SARS-Nucleocapsid,0.806961
2_SARS-Spike S1 RBD,1_SARS-Nucleocapsid,0.801043
2_SARS-Nsp-3 (Papain like),1_SARS-Nucleocapsid,0.814942
2_SARS-Nsp-3,1_SARS-Nucleocapsid,0.810439
1_SARS-Spike S1 RBD,1_SARS-Nucleocapsid,0.822502
1_SARS-Nsp-10,1_SARS-Nucleocapsid,0.809363
3_SARS-Nsp-3 (Papain like),1_SARS-Spike S1 RBD,0.820017
2_SARS-Nsp-8,1_SARS-Spike S1 RBD,0.810312
2_SARS-Nsp-3 (Papain like),1_SARS-Spike S1 RBD,0.832379
2_SARS-Nsp-3,1_SARS-Spike S1 RBD,0.807034
1_SARS-Nsp-8,1_SARS-Spike S1 RBD,0.803107
1_SARS-Nsp-10,1_SARS-Spike S1 RBD,0.827984
9_SARS2-Spike TRIMER open,1_SARS2-Nsp-1,0.803891
9_SARS-Nsp-5 (Mpro),1_SARS2-Nsp-1,0.817326
9_SARS-Nsp-3 (Papain like),1_SARS2-Nsp-1,0.841123
8_SARS2-Spike TRIMER open,1_SARS2-Nsp-1,0.804313
8_SARS2-Spike TRIMER closed,1_SARS2-Nsp-1,0.801181
7_SARS2-Nsp-13 (Helicase),1_SARS2-Nsp-1,0.803762
7_SARS-Spike S1 RBD,1_SARS2-Nsp-1,0.805708
7_SARS-Nsp-5 (Mpro),1_SARS2-Nsp-1,0.805637
6_SARS2-Spike S1 RBD,1_SARS2-Nsp-1,0.801803
6_SARS2-Nsp-16,1_SARS2-Nsp-1,0.806322
6_SARS2-Nsp-13 (Helicase),1_SARS2-Nsp-1,0.807287
6_SARS-Spike S1 RBD,1_SARS2-Nsp-1,0.804153
6_SARS-Nsp-5 (Mpro),1_SARS2-Nsp-1,0.809678
5_SARS2-Spike S1 RBD,1_SARS2-Nsp-1,0.813848
5_SARS2-Nsp-16,1_SARS2-Nsp-1,0.810833
5_SARS2-Nsp-13 (Helicase),1_SARS2-Nsp-1,0.817501
5_SARS-Nsp-16,1_SARS2-Nsp-1,0.802962
4_SARS2-Nsp-13 (Helicase),1_SARS2-Nsp-1,0.800256
4_SARS-Spike NTD,1_SARS2-Nsp-1,0.813261
4_SARS-Nsp-3 (Papain like),1_SARS2-Nsp-1,0.814188
4_SARS-Nsp-16,1_SARS2-Nsp-1,0.803996
4_MERS-Spike NTD,1_SARS2-Nsp-1,0.810271
3_SARS2-Spike S1 RBD,1_SARS2-Nsp-1,0.81336
3_SARS2-Nsp-2,1_SARS2-Nsp-1,0.828547
3_SARS2-Nsp-16,1_SARS2-Nsp-1,0.802283
3_SARS2-Nsp-12,1_SARS2-Nsp-1,0.804842
3_SARS-Spike S1 RBD,1_SARS2-Nsp-1,0.817282
3_SARS-Spike NTD,1_SARS2-Nsp-1,0.801983
3_SARS-Nsp-3 (Papain like),1_SARS2-Nsp-1,0.812441
3_MERS-Spike NTD,1_SARS2-Nsp-1,0.823382
25_SARS2-Spike TRIMER closed,1_SARS2-Nsp-1,0.809167
22_SARS2-Spike TRIMER closed,1_SARS2-Nsp-1,0.808045
2_SARS2-ORF8,1_SARS2-Nsp-1,0.804421
2_SARS2-Nsp-2,1_SARS2-Nsp-1,0.805729
2_SARS2-Nsp-16,1_SARS2-Nsp-1,0.810252
2_SARS2-Nsp-13 (Helicase),1_SARS2-Nsp-1,0.800737
2_SARS2-Nsp-10,1_SARS2-Nsp-1,0.826629
2_SARS-Spike NTD,1_SARS2-Nsp-1,0.809623
2_SARS-Nsp-3 (Papain like),1_SARS2-Nsp-1,0.814831
2_SARS-Nsp-16,1_SARS2-Nsp-1,0.8091
2_MERS-Spike RBD,1_SARS2-Nsp-1,0.809606
2_MERS-Nsp-3 (Papain like),1_SARS2-Nsp-1,0.802071
19_SARS2-Spike TRIMER closed,1_SARS2-Nsp-1,0.805792
18_SARS2-Spike TRIMER open,1_SARS2-Nsp-1,0.824475
18_SARS2-Spike TRIMER closed,1_SARS2-Nsp-1,0.810164
17_SARS2-Spike TRIMER open,1_SARS2-Nsp-1,0.800247
16_SARS2-Spike TRIMER open,1_SARS2-Nsp-1,0.808546
14_SARS2-Spike TRIMER open,1_SARS2-Nsp-1,0.808112
14_SARS2-Spike TRIMER closed,1_SARS2-Nsp-1,0.806499
14_SARS2-Nsp-12,1_SARS2-Nsp-1,0.80077
11_SARS2-Spike TRIMER open,1_SARS2-Nsp-1,0.817803
11_SARS2-Nsp-12,1_SARS2-Nsp-1,0.806823
1_SARS2-Spike TRIMER open,1_SARS2-Nsp-1,0.805349
1_SARS2-Spike S1 RBD,1_SARS2-Nsp-1,0.821545
1_SARS2-ORF8,1_SARS2-Nsp-1,0.826174
1_SARS-Spike S1 RBD,1_SARS2-Nsp-1,0.8119
1_SARS-Nucleocapsid,1_SARS2-Nsp-1,0.811372
1_MERS-Spike S2 HR,1_SARS2-Nsp-1,0.805452
1_MERS-Spike RBD,1_SARS2-Nsp-1,0.800123
8_SARS-Nsp-3 (Papain like),1_SARS2-Nsp-10,0.800012
6_SARS-Nsp-3,1_SARS2-Nsp-10,0.804567
1_SARS-Nsp-3,1_SARS2-Nsp-10,0.800087
1_SARS-Nsp-10,1_SARS2-Nsp-10,0.867191
9_SARS2-Spike TRIMER open,1_SARS2-Nsp-12,0.813761
9_SARS-Nsp-5 (Mpro),1_SARS2-Nsp-12,0.801638
9_SARS-Nsp-3 (Papain like),1_SARS2-Nsp-12,0.827391
8_SARS2-Spike TRIMER open,1_SARS2-Nsp-12,0.837142
7_SARS2-Nsp-13 (Helicase),1_SARS2-Nsp-12,0.842012
7_SARS-Spike S1 RBD,1_SARS2-Nsp-12,0.815764
7_SARS-Nsp-5 (Mpro),1_SARS2-Nsp-12,0.858561
7_SARS-Nsp-3 (Papain like),1_SARS2-Nsp-12,0.829031
7_SARS-Nsp-3,1_SARS2-Nsp-12,0.80198
6_SARS2-Nsp-16,1_SARS2-Nsp-12,0.818527
6_SARS2-Nsp-13 (Helicase),1_SARS2-Nsp-12,0.85033
6_SARS-Spike S1 RBD,1_SARS2-Nsp-12,0.808378
6_SARS-Nsp-5 (Mpro),1_SARS2-Nsp-12,0.840402
6_SARS-Nsp-3 (Papain like),1_SARS2-Nsp-12,0.817403
5_SARS2-Nsp-16,1_SARS2-Nsp-12,0.836875
5_SARS2-Nsp-13 (Helicase),1_SARS2-Nsp-12,0.824685
5_SARS-Spike S1 RBD,1_SARS2-Nsp-12,0.831361
4_SARS2-Spike TRIMER open,1_SARS2-Nsp-12,0.803096
4_SARS2-Nsp-16,1_SARS2-Nsp-12,0.833515
4_SARS-Nsp-5 (Mpro),1_SARS2-Nsp-12,0.856395
4_SARS-Nsp-3 (Papain like),1_SARS2-Nsp-12,0.804728
4_SARS-Nsp-16,1_SARS2-Nsp-12,0.852304
4_MERS-Spike NTD,1_SARS2-Nsp-12,0.845721
3_SARS2-Spike S1 RBD,1_SARS2-Nsp-12,0.81542
3_SARS2-Nsp-16,1_SARS2-Nsp-12,0.829054
3_SARS2-Nsp-15 (Uridylate-specific endoribonuclease),1_SARS2-Nsp-12,0.861238
3_SARS-Spike S1 RBD,1_SARS2-Nsp-12,0.843025
3_SARS-Spike NTD,1_SARS2-Nsp-12,0.815526
3_SARS-Nsp-3 (Papain like),1_SARS2-Nsp-12,0.824968
3_MERS-Nsp-3 (Papain like),1_SARS2-Nsp-12,0.835568
24_SARS2-Spike TRIMER closed,1_SARS2-Nsp-12,0.840202
22_SARS2-Spike TRIMER closed,1_SARS2-Nsp-12,0.828737
20_SARS2-Spike TRIMER closed,1_SARS2-Nsp-12,0.835091
2_SARS2-Spike TRIMER open,1_SARS2-Nsp-12,0.826634
2_SARS2-Nsp-16,1_SARS2-Nsp-12,0.82546
2_SARS2-Nsp-15 (Uridylate-specific endoribonuclease),1_SARS2-Nsp-12,0.801518
2_SARS2-Nsp-13 (Helicase),1_SARS2-Nsp-12,0.814506
2_SARS2-Nsp-10,1_SARS2-Nsp-12,0.827098
2_SARS-Spike S1 RBD,1_SARS2-Nsp-12,0.855827
2_SARS-Spike NTD,1_SARS2-Nsp-12,0.845626
2_SARS-Nsp-3 (Papain like),1_SARS2-Nsp-12,0.819957
2_SARS-Nsp-16,1_SARS2-Nsp-12,0.815544
19_SARS2-Spike TRIMER closed,1_SARS2-Nsp-12,0.81373
18_SARS2-Spike TRIMER open,1_SARS2-Nsp-12,0.806772
18_SARS2-Spike TRIMER closed,1_SARS2-Nsp-12,0.80183
17_SARS2-Spike TRIMER open,1_SARS2-Nsp-12,0.81769
17_SARS2-Spike TRIMER closed,1_SARS2-Nsp-12,0.804976
15_SARS2-Spike TRIMER open,1_SARS2-Nsp-12,0.828742
14_SARS2-Spike TRIMER open,1_SARS2-Nsp-12,0.830956
14_SARS2-Spike TRIMER closed,1_SARS2-Nsp-12,0.811756
11_SARS2-Spike TRIMER open,1_SARS2-Nsp-12,0.804976
1_SARS2-Spike TRIMER open,1_SARS2-Nsp-12,0.828969
1_SARS2-Spike S1 RBD,1_SARS2-Nsp-12,0.814445
1_SARS-Spike S1 RBD,1_SARS2-Nsp-12,0.811746
1_SARS-Nsp-8,1_SARS2-Nsp-12,0.851074
1_SARS-Nsp-5 (Mpro),1_SARS2-Nsp-12,0.83449
1_MERS-Spike S2 HR,1_SARS2-Nsp-12,0.825896
1_MERS-Nucleocapsid,1_SARS2-Nsp-12,0.83934
9_SARS2-Spike TRIMER open,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.842289
9_SARS-Nsp-5 (Mpro),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.8359
9_SARS-Nsp-3 (Papain like),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.825858
8_SARS2-Spike TRIMER open,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.845721
8_SARS2-Spike TRIMER closed,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.808841
8_SARS2-Nsp-16,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.805388
7_SARS2-Spike S1 RBD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.82312
7_SARS2-Nsp-13 (Helicase),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.84376
7_SARS-Spike S1 RBD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.823578
7_SARS-Nsp-5 (Mpro),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.825528
7_SARS-Nsp-3 (Papain like),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.81442
7_SARS-Nsp-3,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.819954
6_SARS2-Spike S1 RBD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.806116
6_SARS2-Nsp-16,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.824734
6_SARS2-Nsp-13 (Helicase),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.84354
6_SARS2-Nsp-12,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.819496
6_SARS-Spike S1 RBD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.830132
6_SARS-Nsp-5 (Mpro),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.814204
6_SARS-Nsp-3 (Papain like),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.811527
5_SARS2-Spike S1 RBD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.813106
5_SARS2-Nsp-5 (Mpro),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.808093
5_SARS2-Nsp-2,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.803537
5_SARS2-Nsp-16,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.828555
5_SARS2-Nsp-13 (Helicase),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.842179
5_SARS-Spike S1 RBD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.806831
5_SARS-Nsp-16,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.806421
4_SARS2-Spike TRIMER open,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.806583
4_SARS2-Nsp-9,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.837171
4_SARS2-Nsp-16,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.828706
4_SARS2-Nsp-13 (Helicase),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.803962
4_SARS2-Nsp-12,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.809593
4_SARS-Spike NTD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.824252
4_SARS-Nsp-5 (Mpro),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.828163
4_SARS-Nsp-3 (Papain like),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.816386
4_SARS-Nsp-16,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.842121
4_MERS-Spike NTD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.839221
3_SARS2-Spike S1 RBD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.82251
3_SARS2-Spike NTD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.808283
3_SARS2-Nsp-2,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.815645
3_SARS2-Nsp-16,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.832692
3_SARS2-Nsp-15 (Uridylate-specific endoribonuclease),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.816104
3_SARS2-Nsp-12,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.842196
3_SARS-Spike S1 RBD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.839134
3_SARS-Spike NTD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.835193
3_SARS-Nsp-3 (Papain like),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.804444
3_MERS-Spike NTD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.823611
3_MERS-Nsp-3 (Papain like),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.834182
25_SARS2-Spike TRIMER closed,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.811105
24_SARS2-Spike TRIMER closed,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.814615
22_SARS2-Spike TRIMER closed,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.844593
20_SARS2-Spike TRIMER closed,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.817098
2_SARS2-Spike TRIMER open,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.826466
2_SARS2-Spike NTD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.80571
2_SARS2-Nsp-3,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.818257
2_SARS2-Nsp-2,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.818292
2_SARS2-Nsp-16,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.820065
2_SARS2-Nsp-15 (Uridylate-specific endoribonuclease),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.808762
2_SARS2-Nsp-13 (Helicase),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.820933
2_SARS2-Nsp-12,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.816185
2_SARS2-Nsp-10,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.816434
2_SARS-Spike S1 RBD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.840579
2_SARS-Spike NTD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.840878
2_SARS-Nsp-3 (Papain like),1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.834711
2_SARS-Nsp-16,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.829968
2_MERS-Spike RBD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.833604
19_SARS2-Spike TRIMER closed,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.825939
18_SARS2-Spike TRIMER open,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.825916
18_SARS2-Spike TRIMER closed,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.817558
17_SARS2-Spike TRIMER open,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.833684
17_SARS2-Spike TRIMER closed,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.819468
16_SARS2-Spike TRIMER open,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.808895
15_SARS2-Spike TRIMER open,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.852602
14_SARS2-Spike TRIMER open,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.821357
14_SARS2-Spike TRIMER closed,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.829527
14_SARS2-Nsp-16,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.832496
14_SARS2-Nsp-12,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.837953
13_SARS2-Spike TRIMER closed,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.801094
13_SARS2-Nsp-16,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.821684
12_SARS2-Nsp-12,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.823282
11_SARS2-Spike TRIMER open,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.834808
11_SARS2-Nsp-12,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.810566
10_SARS2-Nsp-16,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.833063
10_SARS2-Nsp-12,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.822339
1_SARS2-Spike TRIMER open,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.822102
1_SARS2-Spike S1 RBD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.822899
1_SARS2-ORF8,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.806265
1_SARS2-ORF3a,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.818525
1_SARS2-Nsp-12,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.819991
1_SARS2-Nsp-1,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.816133
1_SARS-Spike S1 RBD,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.820904
1_SARS-Nucleocapsid,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.810922
1_SARS-Nsp-8,1_SARS2-Nsp-14 (Proofreading exoribonuclease),0.817393
